Filename,Class,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
Image_1,Kawung,3719.162025122549,4757.264990388312,3840.6564644607847,4686.136255286428,0.08468131017248726,0.08003009011981248,0.08446994467697393,0.07899634718140364,39.19085477941176,44.75023452518262,39.81421568627451,44.40107650903499,9.499899175637914,9.59053076307395,9.514159215153725,9.586858429023392,0.0009336241150488995,0.0011203748122191777,0.0009596948795985919,0.0011230688341706328,0.030555263295362053,0.03347200042153408,0.030978942519049806,0.033512219177049926,0.7044657147118035,0.6217714591304884,0.6945987889722287,0.6274205262075199
Image_2,Kawung,4038.6497855392163,4648.017747020376,2372.844148284314,4571.163429450211,0.16211722629790054,0.14462735403739313,0.24363816395700494,0.14489351283555682,35.477175245098046,39.93897731641676,25.588296568627456,39.79813917723952,9.051910932383137,9.164652540350248,8.769627378413485,9.169261738132448,0.001198097941784711,0.001003786524598456,0.002703272296299801,0.0010114314120156958,0.03461355141826263,0.03168259024446164,0.05199300237820279,0.03180300948048306,0.6686404230266966,0.6176206283878017,0.8044247145774929,0.6239419248097492
Image_3,Kawung,1857.8817708333331,2866.1906189926954,2502.3805606617643,2936.891334102269,0.07224706699647437,0.06005738516007414,0.06190970468249865,0.06109964066440229,28.850183823529413,36.1357785467128,33.98776041666667,36.0238216070742,9.012718452119383,9.182927060594444,9.143048115695324,9.174220602049871,0.00019798844926680848,0.00016611054128325234,0.00017290842070207376,0.00017015110120157555,0.014070836836052378,0.012888387846555998,0.013149464654580952,0.013044197989971463,0.8280513837079726,0.734338317169534,0.7683152734548936,0.7277895643800876
Image_4,Kawung,5937.5674172794115,6924.244675124952,5695.707843137255,6547.903483275663,0.040818028639900306,0.057978353222801204,0.04260805499204058,0.059981130179640206,56.36251531862746,59.49800845828527,55.29120710784315,57.589204152249124,9.757528184124153,9.786688413904727,9.750351480599175,9.78162792863347,0.00030537829312944555,0.0007590069238149759,0.0003682926094380767,0.0008171579233196472,0.017475076341162164,0.02755008028690617,0.019190951238489372,0.028585974241219194,0.526863618897454,0.44774425107845184,0.5462013867872116,0.4777631266284464
Image_5,Kawung,5574.601945465687,5693.1490965013445,3442.8947303921577,5816.474386774318,0.10459883484175123,0.11101304864148329,0.15767044798646473,0.11042521847391598,49.43779105392157,49.82871203383313,38.32190563725491,50.4238216070742,8.64933919548586,8.670019393957618,8.520028287987056,8.679575042620396,0.0022987043651330023,0.0027858779066579084,0.006116914613482496,0.0028583066785451013,0.047944805403015274,0.05278141630022738,0.07821070651440566,0.05346313382645186,0.6060057164338554,0.5977417556013427,0.7564800587378365,0.589024986789542
Image_6,Kawung,2976.396492034314,3679.4115955401776,3058.8349571078434,3759.7358400615153,0.08406278049547251,0.07241695695875267,0.09457709041558156,0.07088164904688955,35.86199448529412,40.65720876585929,35.45916053921569,41.216070742022296,9.346368665444247,9.43980704431916,9.321266987743854,9.44780282629385,0.0009601446061535833,0.0006809557321356748,0.0010828259741971237,0.0006530236130456435,0.030986200253557764,0.026095128513492223,0.03290632118905308,0.0255543266991256,0.7525368656727534,0.6942094640228395,0.7459393039309612,0.6875295997391757
Image_7,Kawung,1799.933992034314,3184.2128565936173,3030.239384191176,3313.615809304114,0.11917007613652601,0.09992281857467064,0.09883994465048995,0.0980490887071862,26.543520220588242,34.483860053825445,34.27492340686275,35.108189158016145,8.99579957976346,9.180794052195859,9.17514137402974,9.190710800599028,0.0004646961251757138,0.00031961042990444766,0.00028569545254529506,0.00031264312767647246,0.021556811572579878,0.01787765168875509,0.0169025279927381,0.017681717328259506,0.8415930729420847,0.7201515735563571,0.7332527569858756,0.7087822747986913
Image_8,Kawung,6409.387469362745,6588.406182237601,4944.31262254902,6759.7911726259135,0.06650774591603287,0.07168356841213737,0.07501692285924488,0.07036332836421386,51.00968137254901,51.288304498269895,43.19304534313726,52.06614379084968,9.17202514737394,9.207568411595314,9.096068762398783,9.213936754111593,0.0002940321133623486,0.0003181068529966811,0.00031965749257346926,0.00030977870428387864,0.01714736461857473,0.017835550257748738,0.01787896788333905,0.017600531363679867,0.4510176120804318,0.4362692151008722,0.5767163960219208,0.4216009071237302
Image_9,Kawung,829.2441329656863,2095.704836601307,1976.8269914215691,2082.1110803537103,0.11614915469608281,0.08672938514905731,0.08615185743491083,0.08486075626929059,19.013985906862747,29.94462129950019,29.205912990196083,29.865390234525186,8.097531159660926,8.467169413768133,8.458292675410668,8.476272168428668,0.000448225315421052,0.0003211384850206223,0.00032152210369058794,0.00031722362720634615,0.02117133239597952,0.017920337190483394,0.017931037440443536,0.01781077278520913,0.9239824618329346,0.807907591646576,0.8187798600999107,0.8091522947156855
Image_10,Kawung,6514.301960784314,6110.404552095348,7227.6113817401965,6080.650011534026,0.22348603678457174,0.2270826595574936,0.20796629422057203,0.2273897450078356,51.73685661764706,47.35547866205305,55.453354779411775,47.34254517493272,7.114647510879748,7.183015325973487,7.139739384760734,7.187186087874543,0.01780097465705798,0.016839752492202376,0.017148312191374714,0.01689376300866744,0.13342029327301744,0.1297680719291243,0.13095156429525656,0.12997600935814055,0.42202034574604536,0.4569699177044563,0.3570996668092252,0.45962421681146903
